step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,130.91,-66.01,-1.1878,-0.7889,-150.0,-118.3,259.7
1,130.91,-66.01,-1.0525,-1.0543,-150.0,-150.0,259.7
2,130.91,-66.01,-0.9702,-1.0830,-145.5,-150.0,259.7
3,130.25,-65.33,-0.9838,-0.5658,-147.6,-84.9,259.7
4,129.93,-65.00,-1.0044,-0.8416,-150.0,-126.2,259.7
5,129.60,-64.66,-0.9691,-0.9382,-145.4,-140.7,259.7
6,129.60,-64.66,-0.7610,0.0927,-114.1,13.9,259.7
7,129.27,-64.32,-0.9912,-1.0124,-148.7,-150.0,259.7
8,128.95,-63.99,0.7030,-0.3561,105.5,-53.4,259.7
9,139.74,-71.69,0.8326,-0.7392,124.9,-110.9,5.7
10,139.74,-71.69,-1.1255,-0.8352,-150.0,-125.3,5.7
11,146.40,-74.12,-0.4026,-0.8614,-60.4,-129.2,3.5
12,150.75,-74.44,0.7824,-0.9756,117.4,-146.3,3.4
13,144.39,-70.58,-0.9148,-0.8726,-137.2,-130.9,7.0
14,144.39,-70.58,-0.9284,-0.9130,-139.3,-136.9,7.0
15,143.00,-68.03,-0.4733,-0.8426,-71.0,-126.4,9.5
16,141.48,-67.68,0.4878,0.9442,73.2,141.6,9.7
17,139.42,-63.63,-1.0553,-0.7130,-150.0,-107.0,13.7
18,139.42,-63.63,-0.8113,-0.8779,-121.7,-131.7,13.7
19,137.27,-59.03,1.0337,-0.4719,150.0,-70.8,18.2
20,136.62,-57.55,0.1180,-1.1911,17.7,-150.0,19.7
21,134.13,-51.18,0.6521,-0.9381,97.8,-140.7,25.9
22,134.13,-51.18,-0.3453,0.3520,-51.8,52.8,25.9
23,133.44,-49.15,-1.0791,-0.6470,-150.0,-97.1,27.9
24,131.48,-46.96,-0.9057,0.2956,-135.9,44.3,30.0
25,131.29,-46.31,-0.9242,-0.7074,-138.6,-106.1,30.7
26,131.29,-46.31,-0.8045,-0.3462,-120.7,-51.9,30.7
27,129.30,-43.57,-0.0275,-0.4981,-4.1,-74.7,33.3
28,129.46,-44.21,-0.0205,-0.5948,-3.1,-89.2,32.7
29,129.46,-44.21,-0.6133,0.1269,-92.0,19.0,32.7
30,129.46,-44.21,0.6764,0.0530,101.5,8.0,32.7
