step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,133.00,-120.50,-0.7718,0.1427,-115.8,21.4,259.7
1,133.00,-120.50,-0.9265,-0.4564,-139.0,-68.5,259.7
2,133.00,-120.50,-0.8969,0.5454,-134.5,81.8,259.7
3,133.00,-120.50,-0.9183,-0.9330,-137.7,-139.9,259.7
4,133.00,-120.50,-0.7276,0.8257,-109.1,123.9,259.7
5,133.00,-120.50,-0.9002,0.5233,-135.0,78.5,259.7
6,133.00,-120.50,-1.0219,-0.2876,-150.0,-43.1,259.7
7,133.00,-120.50,-1.0133,0.4042,-150.0,60.6,259.7
8,133.00,-120.50,-0.9995,-0.6653,-149.9,-99.8,259.7
9,133.00,-120.50,-0.8571,-0.8046,-128.6,-120.7,259.7
10,133.00,-120.50,-0.7179,-0.6930,-107.7,-103.9,259.7
11,133.00,-120.50,1.0700,-0.0722,150.0,-10.8,259.7
12,133.00,-120.50,-1.0566,0.2739,-150.0,41.1,259.7
13,133.00,-120.50,-0.8858,-0.7179,-132.9,-107.7,259.7
14,133.00,-120.50,-0.1923,-1.0281,-28.8,-150.0,259.7
15,133.00,-120.50,0.6696,0.5488,100.4,82.3,259.7
16,137.27,-59.03,-0.9135,-1.3032,-137.0,-150.0,18.2
17,75.39,-21.30,-1.1043,0.6137,-150.0,92.1,259.7
18,137.22,-61.77,-0.8645,-0.9524,-129.7,-142.9,15.5
19,137.27,-59.03,-0.8190,-0.6436,-122.8,-96.5,18.2
20,137.27,-59.03,-0.9218,-1.1202,-138.3,-150.0,18.2
21,137.27,-59.03,-1.1362,-1.0477,-150.0,-150.0,18.2
22,137.27,-59.03,-0.1533,-0.8559,-23.0,-128.4,18.2
23,137.27,-59.03,-1.0968,0.5015,-150.0,75.2,18.2
24,137.27,-59.03,0.7345,-1.0070,110.2,-150.0,18.2
25,137.27,-59.03,-1.0789,-1.0243,-150.0,-150.0,18.2
26,137.27,-59.03,0.9428,-0.9360,141.4,-140.4,18.2
27,137.27,-59.03,-0.9919,-0.9491,-148.8,-142.4,18.2
28,137.27,-59.03,-0.3319,-0.9013,-49.8,-135.2,18.2
29,137.61,-59.78,-1.0846,-1.0604,-150.0,-150.0,17.5
30,136.62,-57.55,-1.0697,-0.8578,-150.0,-128.7,19.7
31,136.01,-56.09,-1.1716,-1.0259,-150.0,-150.0,21.1
32,134.89,-53.25,-0.9929,-0.3182,-148.9,-47.7,23.9
33,133.23,-48.48,-0.9744,-0.8273,-146.2,-124.1,28.6
34,131.48,-46.96,0.8374,-0.1282,125.6,-19.2,30.0
35,132.09,-44.56,0.0337,-0.9160,5.1,-137.4,32.4
36,132.27,-45.21,1.0324,0.6707,150.0,100.6,31.8
37,131.93,-43.92,0.8933,-0.3077,134.0,-46.2,33.0
38,131.93,-43.92,1.1218,0.1788,150.0,26.8,33.0
39,131.77,-43.28,1.0598,-0.5250,150.0,-78.8,33.7
40,130.97,-39.53,-0.9137,-0.9949,-137.1,-149.2,37.4
41,130.97,-39.53,0.9187,-0.9507,137.8,-142.6,37.4
42,130.97,-39.53,0.9224,-0.8787,138.4,-131.8,37.4
43,127.83,-35.62,-0.9746,-0.9221,-146.2,-138.3,41.2
44,126.39,-33.73,-0.4076,-1.0257,-61.1,-150.0,43.0
45,123.80,-31.78,-0.8901,-1.0507,-133.5,-150.0,44.9
46,123.80,-31.78,-1.0679,0.3923,-150.0,58.8,44.9
47,120.27,-28.53,-1.1088,0.3468,-150.0,52.0,259.7
48,120.27,-28.53,-1.0993,0.7448,-150.0,111.7,259.7
49,120.27,-28.53,-0.9495,0.5359,-142.4,80.4,259.7
50,120.27,-28.53,-0.7886,-0.3351,-118.3,-50.3,259.7
51,120.27,-28.53,-1.0519,-0.9272,-150.0,-139.1,259.7
