step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,104.1,-63.6,-0.1885,-0.4798,-28.3,-72,0
1,104.1,-63.6,-0.9553,-0.9279,-143.3,-139.2,0
2,104.1,-63.6,-0.1648,-1.0088,-24.7,-150,0
3,104.1,-63.6,-0.4055,-0.8913,-60.8,-133.7,0
4,104.1,-63.6,-0.2905,-1.1212,-43.6,-150,0
5,104.1,-63.6,-0.4529,-1.0407,-67.9,-150,0
6,104.1,-63.6,-0.1082,-1.0554,-16.2,-150,0
7,104.1,-63.6,-0.2545,-1.0545,-38.2,-150,0
8,104.1,-63.6,-0.5531,-0.8802,-83,-132,0
9,104.1,-63.6,-0.3543,-0.9288,-53.1,-139.3,0
10,104.1,-63.6,0.1592,-0.8831,23.9,-132.5,0
11,104.1,-63.6,0.5061,-0.8453,75.9,-126.8,0
12,104.1,-63.6,0.3392,-0.9169,50.9,-137.5,0
13,104.1,-63.6,0.1336,-1.3185,20,-150,0
14,104.1,-63.6,-0.7536,-0.9538,-113,-143.1,0
15,104.1,-63.6,-0.2221,-1.0971,-33.3,-150,0
16,104.1,-63.6,-0.2829,-1.0029,-42.4,-150,0
17,104.1,-63.6,-0.1727,-1.0276,-25.9,-150,0
18,104.1,-63.6,0.4535,-0.8871,68,-133.1,0
19,104.1,-63.6,0.6654,-0.9849,99.8,-147.7,0
20,104.1,-63.6,0.3652,0.789,54.8,118.3,0
21,105.04,-63.82,0.3522,-0.8765,52.8,-131.5,0
22,107.27,-64.97,-0.0327,-0.9243,-4.9,-138.6,0
23,108.92,-64.72,0.7247,0.4,108.7,60,0
24,108.92,-64.72,0.2828,-0.7681,42.4,-115.2,0
25,108.92,-64.72,0.6723,-0.7553,100.8,-113.3,0
26,109.27,-63.54,0.7158,-0.8313,107.4,-124.7,0
27,108.36,-61.48,0.1256,-0.065,18.8,-9.8,1.1
28,106.96,-58.16,0.1684,-0.7744,25.3,-116.2,3.6
29,105.26,-56.05,0.2668,0.1488,40,22.3,6.8
30,103.2,-52.8,0.5339,-0.3784,80.1,-56.8,10.2
31,102.79,-51.61,0.3395,0.9781,50.9,146.7,11.4
32,100.43,-49.55,0.4246,-0.2681,63.7,-40.2,13
33,99.58,-46.72,0.775,0.8948,116.2,134.2,16.4
34,94.77,-35.43,-0.8083,-1.0035,-121.3,-150,28.1
35,93.91,-34.86,-0.9894,-0.295,-148.4,-44.2,28.4
36,88.18,-30.54,-0.0874,-0.0753,-13.1,-11.3,33.5
37,85.94,-29.44,-0.1365,-0.5056,-20.5,-75.8,34.8
38,85.19,-28.47,0.8116,-0.6058,121.7,-90.9,36
39,74.88,-19.17,0.9861,0.9774,147.9,146.6,46.1
40,74.44,-17.44,0.7029,0.4115,105.4,61.7,47.9
41,72.69,-12.71,0.5262,0.4875,78.9,73.1,52.7
42,71.68,0.14,0.6862,-0.5841,102.9,-87.6,76.1
43,72.14,1.57,-0.1835,1.096,-27.5,150,75.6
