step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,94.05,8.06,-0.8073,-1.0395,-121.1,-150.0,0.0
1,94.87,8.15,0.6251,-0.8875,93.8,-133.1,0.0
2,94.05,8.06,-0.6682,1.0497,-100.2,150.0,0.0
3,94.87,8.15,-0.2083,1.0231,-31.2,150.0,0.0
4,94.87,8.15,0.8793,0.2368,131.9,35.5,0.0
5,94.87,8.15,-1.0508,0.5926,-150.0,88.9,0.0
6,93.78,7.50,-0.4509,0.5444,-67.6,81.7,0.0
7,95.70,8.23,0.0490,-0.8658,7.3,-129.9,0.0
8,95.70,8.23,-0.9512,-0.8796,-142.7,-131.9,0.0
9,95.70,8.23,-0.2746,-0.5027,-41.2,-75.4,0.0
10,95.70,8.23,-0.7441,-0.0179,-111.6,-2.7,0.0
11,96.55,8.32,-0.4247,0.5983,-63.7,89.7,0.0
12,96.55,8.32,-0.9004,-0.8838,-135.1,-132.6,0.0
13,95.70,8.23,-0.6611,-0.8784,-99.2,-131.8,0.0
14,95.15,8.72,0.5323,-0.6258,79.8,-93.9,0.0
15,92.96,9.03,0.8384,-0.8154,125.8,-122.3,0.0
16,91.08,8.30,0.7365,-0.9166,110.5,-137.5,0.0
17,91.08,8.30,0.8795,-1.0147,131.9,-150.0,0.0
18,87.72,9.01,-0.2199,-1.0886,-33.0,-150.0,0.0
19,84.00,8.62,-0.7305,-1.1675,-109.6,-150.0,3.0
20,84.00,8.62,-1.1253,-0.9049,-150.0,-135.7,3.0
21,79.33,7.12,0.1708,0.5059,25.6,75.9,7.8
22,77.31,6.93,-0.7214,0.3098,-108.2,46.5,10.2
23,75.99,6.81,-1.1028,0.5098,-150.0,76.5,11.5
24,75.99,6.81,-1.0259,0.4329,-150.0,64.9,11.5
25,74.24,7.14,-1.0332,-0.1797,-150.0,-27.0,13.3
26,71.10,6.85,-1.0077,-1.0305,-150.0,-150.0,16.4
27,67.49,6.53,-1.0448,-0.9196,-150.0,-137.9,19.6
28,67.49,6.53,0.8087,-0.9570,121.3,-143.6,19.6
29,62.91,6.14,0.9799,-1.0213,147.0,-150.0,24.6
30,58.57,5.79,0.8250,-1.0309,123.8,-150.0,28.9
31,54.45,5.48,0.9323,-0.0700,139.8,-10.5,33.1
32,54.45,5.48,1.0661,0.9126,150.0,136.9,33.1
33,49.55,5.14,0.8580,0.7897,128.7,118.5,38.0
34,44.79,4.39,0.8058,0.5555,120.9,83.3,42.4
35,41.23,4.20,0.7077,1.1080,106.2,150.0,46.1
36,41.23,4.20,0.4874,0.9906,73.1,148.6,46.1
37,39.84,3.69,-0.9166,0.9124,-137.5,136.9,47.4
38,40.01,4.59,-0.9580,1.0871,-143.7,150.0,47.2
39,40.35,4.16,-1.0306,1.1179,-150.0,150.0,46.9
40,40.35,4.16,-1.0358,1.0843,-150.0,150.0,46.9
41,42.46,3.82,-0.9523,0.9275,-142.8,139.1,45.1
42,46.06,4.02,-0.9398,-1.0315,-141.0,-150.0,41.5
43,49.80,4.24,-0.9493,-0.9486,-142.4,-142.3,37.7
44,49.80,4.24,-1.0141,-0.4094,-150.0,-61.4,37.7
45,51.73,4.37,-0.8180,0.6751,-122.7,101.3,35.5
46,52.21,4.40,-1.2036,0.9265,-150.0,139.0,35.0
47,51.13,3.88,-0.8509,0.8401,-127.6,126.0,36.1
48,51.13,3.88,-1.0122,0.0234,-150.0,3.5,36.1
49,48.27,3.70,-0.9875,-1.0130,-148.1,-150.0,39.2
50,45.15,3.97,-1.0596,-0.5078,-150.0,-76.2,42.1
51,42.02,3.80,-0.9256,-0.9934,-138.8,-149.0,45.5
52,38.89,3.21,-1.1170,-0.9912,-150.0,-148.7,48.6
53,38.89,3.21,-1.0465,-0.8701,-150.0,-130.5,48.6
54,35.52,3.07,-1.1336,-0.9277,-150.0,-139.2,52.0
55,32.23,2.96,-0.7561,-0.8832,-113.4,-132.5,55.0
56,32.23,2.96,-0.9148,-0.8517,-137.2,-127.8,55.0
57,28.62,2.85,-0.9369,-0.9213,-140.5,-138.2,58.6
58,25.08,2.78,-0.8438,-1.3202,-126.6,-150.0,62.4
59,21.17,2.30,-1.0730,-0.9459,-150.0,-141.9,66.1
60,21.17,2.30,-0.9101,-0.3766,-136.5,-56.5,66.1
61,16.96,2.29,-1.0458,-0.9993,-150.0,-149.9,70.3
62,12.40,2.31,-0.9308,-0.9338,-139.6,-140.1,75.1
63,8.59,2.37,-1.0433,-0.6627,-150.0,-99.4,78.9
64,4.35,2.47,-0.8731,-0.5252,-131.0,-78.8,83.2
65,4.35,2.47,-0.8855,-0.9406,-132.8,-141.1,83.2
66,0.06,2.19,-0.9290,-0.2707,-139.4,-40.6,87.2
67,-3.93,2.35,-1.0153,-0.1390,-150.0,-20.9,91.5
68,-8.45,2.57,-0.8999,-0.2741,-135.0,-41.1,96.0
69,-8.45,2.57,-1.0388,-0.1357,-150.0,-20.4,96.0
70,-13.15,2.84,-0.9450,-0.0449,-141.7,-6.7,100.7
71,-13.15,2.84,-0.6923,0.1225,-103.8,18.4,100.7
72,-17.56,2.68,-1.0817,-0.5908,-150.0,-88.6,104.8
