step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,116.91,-33.65,0.2112,-0.1096,31.7,-16.4,6.8
1,116.91,-33.65,0.4666,-0.2516,70.0,-37.7,6.8
2,116.86,-33.11,0.2865,-0.7884,43.0,-118.3,7.3
3,116.86,-33.11,0.2014,-0.8225,30.2,-123.4,7.3
4,116.86,-33.11,-0.2933,-0.4639,-44.0,-69.6,7.3
5,116.86,-33.11,-0.5057,-0.1994,-75.9,-29.9,7.3
6,116.86,-33.11,-0.5010,0.3169,-75.2,47.5,7.3
7,116.86,-33.11,-0.7823,0.7161,-117.3,107.4,7.3
8,116.86,-33.11,-0.8943,0.6347,-134.1,95.2,7.3
9,116.91,-33.65,-1.0067,0.7766,-150.0,116.5,6.8
10,116.91,-33.65,-0.4783,0.3979,-71.7,59.7,6.8
11,113.78,-33.36,-1.1253,0.3505,-150.0,52.6,8.4
12,120.23,-34.51,-0.9238,0.2382,-138.6,35.7,4.8
13,120.44,-36.17,-0.5522,-0.9321,-82.8,-139.8,3.2
14,120.44,-36.17,-0.5780,-0.9690,-86.7,-145.3,3.2
15,120.52,-36.73,-0.7181,-1.1504,-107.7,-150.0,2.6
16,120.52,-36.73,-0.7335,-1.0026,-110.0,-150.0,2.6
17,120.52,-36.73,-0.6878,-0.8767,-103.2,-131.5,2.6
18,120.52,-36.73,-0.4409,-1.0613,-66.1,-150.0,2.6
19,120.44,-36.17,-0.6990,-0.8490,-104.9,-127.4,3.2
20,120.11,-33.40,-0.3156,-1.1015,-47.3,-150.0,5.8
21,120.06,-32.85,-0.4496,-0.9495,-67.4,-142.4,6.3
22,120.06,-32.85,-0.6266,-0.9535,-94.0,-143.0,6.3
23,119.92,-30.67,0.2809,-0.6744,42.1,-101.2,8.2
24,116.62,-27.23,-0.5280,-0.8502,-79.2,-127.5,12.6
25,114.62,-24.48,0.3248,-0.8502,48.7,-127.5,15.9
26,114.62,-24.48,0.2392,-0.8024,35.9,-120.4,15.9
27,113.71,-22.88,0.1679,-0.8248,25.2,-123.7,17.7
28,110.97,-20.19,0.8878,-0.8279,133.2,-124.2,21.4
29,105.79,-16.53,-0.2193,0.9236,-32.9,138.5,27.3
30,105.79,-16.53,-0.5335,0.8459,-80.0,126.9,27.3
31,99.00,-11.06,0.2416,-0.3110,36.2,-46.7,36.0
32,92.37,-5.85,0.7623,0.3989,114.3,59.8,44.8
33,86.05,-0.32,-0.2658,0.4822,-39.9,72.3,53.5
34,86.05,-0.32,-0.6494,-0.5281,-97.4,-79.2,53.5
35,85.78,0.36,-0.4589,0.2815,-68.8,42.2,151.4
36,69.19,9.68,-0.3888,0.1145,-58.3,17.2,73.8
37,69.19,9.68,-0.5645,-0.3447,-84.7,-51.7,73.8
38,68.60,11.10,-0.1637,0.6590,-24.6,98.8,151.4
39,65.19,13.91,-0.6954,0.8580,-104.3,128.7,151.4
40,61.78,16.73,-0.9157,-0.3364,-137.4,-50.5,151.4
41,61.78,16.73,-0.4126,0.4889,-61.9,73.3,151.4
42,58.37,19.54,0.7782,0.4684,116.7,70.3,151.4
43,54.96,22.36,0.4962,-0.6566,74.4,-98.5,151.4
44,51.55,25.17,-0.1118,-0.7512,-16.8,-112.7,151.4
45,48.13,27.98,0.0354,-0.6477,5.3,-97.2,151.4
46,48.13,27.98,0.8159,-1.2153,122.4,-150.0,151.4
47,44.72,30.80,0.7742,-0.9895,116.1,-148.4,151.4
48,41.31,33.61,0.8892,-0.8471,133.4,-127.1,151.4
49,41.31,33.61,0.9371,-0.8830,140.6,-132.5,151.4
50,37.90,36.43,0.8721,-0.8727,130.8,-130.9,151.4
51,5.88,16.15,0.7222,-0.9553,108.3,-143.3,139.0
52,3.38,15.22,0.8085,-0.9606,121.3,-144.1,141.6
53,2.54,15.26,0.7487,-1.1203,112.3,-150.0,142.3
54,2.54,15.26,0.7258,-1.0923,108.9,-150.0,142.3
55,4.21,15.70,0.4829,-1.0691,72.4,-150.0,140.7
56,-2.43,17.12,0.1047,-0.9169,15.7,-137.5,151.4
57,-2.43,17.12,-0.2038,-0.6861,-30.6,-102.9,151.4
58,-6.62,18.13,-0.0622,-0.8355,-9.3,-125.3,151.4
59,-10.81,19.14,0.1071,-0.9360,16.1,-140.4,151.4
60,26.45,20.40,0.2350,-0.9976,35.3,-149.6,118.4
61,26.45,20.40,0.1165,-0.6489,17.5,-97.3,118.4
62,33.00,20.13,0.2057,-0.6413,30.9,-96.2,112.0
63,39.04,18.85,-0.1428,-1.0692,-21.4,-150.0,106.0
64,45.27,17.72,-1.0521,-0.9697,-150.0,-145.4,99.6
65,49.74,16.52,-1.0932,-0.9294,-150.0,-139.4,95.0
66,49.74,16.52,-0.9665,-0.7189,-145.0,-107.8,95.0
67,53.16,14.73,-1.0465,-0.6601,-150.0,-99.0,91.2
68,55.79,13.43,-0.9609,0.6247,-144.1,93.7,88.3
69,59.01,13.76,-0.9258,0.2703,-138.9,40.5,85.1
70,59.01,13.76,-1.1157,-0.5365,-150.0,-80.5,85.1
71,60.86,14.49,-1.0786,-0.7330,-150.0,-109.9,83.5
72,60.32,16.04,-0.7405,0.8283,-111.1,124.2,84.5
73,57.79,17.93,-0.9153,0.4264,-137.3,64.0,87.4
74,57.79,17.93,-0.9663,-0.2414,-144.9,-36.2,87.4
75,60.85,17.56,-0.8567,0.2364,-128.5,35.5,151.4
76,62.34,17.88,-1.0198,-0.1667,-150.0,-25.0,151.4
77,62.34,17.88,-0.6159,-0.7677,-92.4,-115.2,151.4
78,63.83,18.20,-0.6706,0.1111,-100.6,16.7,151.4
79,65.31,18.52,-0.9126,-0.0268,-136.9,-4.0,151.4
