step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,98.27,-56.69,0.2130,-0.7750,31.9,-116.3,6.8
1,98.27,-56.69,-0.9367,-0.9477,-140.5,-142.2,6.8
2,98.50,-57.31,-1.0674,-0.9968,-150.0,-149.5,6.1
3,98.50,-57.31,-0.9344,-1.0839,-140.2,-150.0,6.1
4,98.50,-57.31,-1.0114,-0.7448,-150.0,-111.7,6.1
5,99.38,-57.49,-0.7675,-0.7473,-115.1,-112.1,5.9
6,102.07,-58.05,0.3910,0.8254,58.6,123.8,5.1
7,105.02,-56.89,-0.4004,-0.3815,-60.1,-57.2,6.0
8,105.02,-56.89,0.3425,-0.1968,51.4,-29.5,6.0
9,104.08,-54.38,0.6057,-0.3745,90.9,-56.2,7.7
10,102.51,-52.37,0.4978,-0.6437,74.7,-96.6,10.7
11,102.11,-51.18,0.3933,-0.6390,59.0,-95.8,11.7
12,102.11,-51.18,-0.0353,-0.5668,-5.3,-85.0,11.7
13,100.84,-49.85,0.7806,0.5456,117.1,81.8,12.7
14,99.43,-47.98,0.1136,-0.2995,17.0,-44.9,15.3
15,98.95,-46.30,0.2030,0.8487,30.4,127.3,16.4
16,98.95,-46.30,0.0307,-0.6067,4.6,-91.0,16.4
17,97.53,-43.98,-0.9037,-0.7761,-135.6,-116.4,19.5
18,97.03,-41.84,0.3499,-0.7130,52.5,-107.0,21.6
19,95.67,-39.13,0.5994,-0.5766,89.9,-86.5,24.0
20,95.67,-39.13,-0.3898,-0.7909,-58.5,-118.6,24.0
21,95.33,-37.09,0.6923,0.4063,103.8,61.0,26.5
22,94.98,-34.59,0.4783,0.1040,71.7,15.6,28.6
23,94.69,-31.64,0.5205,-0.3640,78.1,-54.6,32.0
24,94.69,-31.64,0.7752,-0.4080,116.3,-61.2,32.0
25,92.94,-28.63,0.7365,-0.4835,110.5,-72.5,34.8
26,92.91,-26.25,-0.6434,-0.5457,-96.5,-81.9,37.4
27,92.16,-24.33,-0.7944,-0.1456,-119.2,-21.8,39.1
28,92.16,-24.33,-0.2783,0.8752,-41.7,131.3,39.1
29,92.29,-21.99,-0.1106,0.1140,-16.6,17.1,41.8
30,91.84,-18.69,0.2051,0.3875,30.8,58.1,45.1
31,91.84,-18.69,0.6716,-0.6552,100.7,-98.3,45.1
32,93.30,-14.47,-0.4271,-0.2567,-64.1,-38.5,49.1
33,94.84,-11.12,0.2262,0.8419,33.9,126.3,52.5
34,95.64,-8.19,-0.8290,-0.9382,-124.4,-140.7,54.7
35,95.12,-7.22,-0.7161,-0.9097,-107.4,-136.4,55.7
36,95.12,-7.22,-0.8016,-0.9596,-120.2,-143.9,55.7
37,95.59,-5.73,-0.8822,-0.7759,-132.3,-116.4,57.7
38,96.10,-4.21,-0.8876,-0.9955,-133.1,-149.3,58.5
39,97.89,-1.59,0.8330,-0.8936,124.9,-134.0,61.7
40,97.89,-1.59,0.8580,-0.9192,128.7,-137.9,61.7
41,99.20,1.60,-0.5950,-1.0838,-89.3,-150.0,63.9
42,100.44,4.35,-0.3105,-1.0009,-46.6,-150.0,67.4
43,99.15,6.94,-0.6924,-0.4031,-103.9,-60.5,67.8
44,99.15,6.94,0.1002,0.4420,15.0,66.3,67.8
45,96.00,7.18,0.9586,-0.1917,143.8,-28.7,67.8
46,93.78,7.50,-0.7241,0.3572,-108.6,53.6,67.8
47,90.57,7.18,-1.0147,-0.3730,-150.0,-56.0,67.8
48,90.57,7.18,-0.1080,0.4916,-16.2,73.7,67.8
49,86.74,6.80,0.5929,0.7488,88.9,112.3,67.8
50,83.08,6.46,-0.1695,0.7654,-25.4,114.8,67.8
51,79.59,6.13,1.1533,-0.9449,150.0,-141.7,68.2
52,79.59,6.13,0.2118,0.9208,31.8,138.1,68.2
53,76.25,5.83,0.3760,1.2044,56.4,150.0,71.5
54,72.41,5.49,0.8911,0.2826,133.7,42.4,75.4
55,68.16,5.13,1.0986,-0.1550,150.0,-23.3,79.6
56,68.16,5.13,0.8208,0.9527,123.1,142.9,79.6
57,64.69,4.85,1.0050,-0.5280,150.0,-79.2,83.1
58,61.21,4.11,0.7245,0.9465,108.7,142.0,86.6
59,61.21,4.11,0.9488,-0.9291,142.3,-139.4,86.6
60,58.94,3.49,0.5920,1.0099,88.8,150.0,88.8
61,57.89,3.42,0.9004,0.7786,135.1,116.8,89.9
62,57.37,3.38,0.8806,-0.7712,132.1,-115.7,90.4
63,57.76,2.95,0.6755,0.8932,101.3,134.0,90.0
64,57.76,2.95,0.8998,-0.6207,135.0,-93.1,90.0
65,60.00,3.56,0.3266,0.7868,49.0,118.0,87.8
66,62.71,3.76,0.7780,-0.9628,116.7,-144.4,85.1
67,66.09,4.01,0.0913,-0.8163,13.7,-122.4,81.7
68,66.09,4.01,-0.4684,-1.1409,-70.3,-150.0,81.7
69,70.05,3.85,-0.7225,-0.4189,-108.4,-62.8,77.7
70,74.39,4.19,-0.0739,-0.4096,-11.1,-61.4,73.4
71,74.39,4.19,-0.6981,-0.8000,-104.7,-120.0,73.4
72,78.31,4.52,-0.8071,-0.7168,-121.1,-107.5,69.5
73,82.54,3.38,-0.1722,-0.9235,-25.8,-138.5,67.8
74,87.96,2.81,-0.4299,-0.9881,-64.5,-148.2,66.9
75,91.18,1.53,-0.6408,-0.9763,-96.1,-146.4,64.9
76,91.18,1.53,0.0391,-0.9388,5.9,-140.8,64.9
77,90.77,0.49,-0.6562,0.3824,-98.4,57.4,63.9
78,90.97,1.01,-0.9212,-0.8299,-138.2,-124.5,64.4
79,92.18,2.11,-0.0426,0.0500,-6.4,7.5,65.9
80,92.18,2.11,-0.3175,-0.1942,-47.6,-29.1,65.9
81,92.18,2.11,0.3052,-0.1190,45.8,-17.8,65.9
82,92.98,2.17,1.1254,-0.4623,150.0,-69.3,65.8
83,93.21,2.71,0.5855,0.4979,87.8,74.7,66.4
84,93.21,2.71,0.8486,-0.2733,127.3,-41.0,66.4
85,93.21,2.71,0.4046,0.6348,60.7,95.2,66.4
86,92.18,2.11,0.6729,1.0038,100.9,150.0,65.9
87,90.40,1.47,1.0865,0.7375,150.0,110.6,64.9
88,90.40,1.47,0.9464,0.4132,142.0,62.0,64.9
89,88.47,0.33,0.5070,0.0716,76.0,10.7,64.0
90,88.66,0.85,0.0123,-0.7944,1.8,-119.2,64.5
91,89.28,2.40,-0.8115,-0.3273,-121.7,-49.1,66.4
92,89.28,2.40,-0.8965,0.7085,-134.5,106.3,66.4
93,91.04,3.05,-0.9411,0.8168,-141.2,122.5,66.9
94,91.27,3.58,-0.9449,0.6756,-141.7,101.3,67.4
95,90.82,2.52,-0.9206,-0.0291,-138.1,-4.4,66.4
96,90.82,2.52,-0.8692,-0.9123,-130.4,-136.8,66.4
97,95.30,3.92,-0.9851,-0.1440,-147.8,-21.6,67.4
98,99.21,5.32,-0.7474,0.8997,-112.1,135.0,67.8
99,102.49,5.07,-0.9826,0.3020,-147.4,45.3,67.8
100,102.49,5.07,-0.8353,-0.2339,-125.3,-35.1,67.8
101,105.26,5.32,0.0506,0.5173,7.6,77.6,67.8
102,107.16,5.49,-0.0794,0.3261,-11.9,48.9,67.8
103,106.20,5.41,0.5616,0.7934,84.2,119.0,67.8
104,106.20,5.41,0.7887,0.8865,118.3,133.0,67.8
105,106.20,5.41,0.9986,0.8850,149.8,132.8,67.8
106,105.26,5.32,0.9467,-0.4146,142.0,-62.2,67.8
107,105.26,5.32,0.5226,0.2579,78.4,38.7,67.8
108,105.26,5.32,0.8387,0.3790,125.8,56.9,67.8
109,104.61,5.81,0.9927,-0.9746,148.9,-146.2,67.8
110,102.77,5.65,0.6505,-0.8288,97.6,-124.3,67.8
111,102.77,5.65,0.5453,-1.0360,81.8,-150.0,67.8
112,102.14,6.13,0.2514,-0.9533,37.7,-143.0,67.8
113,98.34,5.24,0.1165,1.0258,17.5,150.0,67.8
114,94.97,4.94,-0.1290,0.2863,-19.3,42.9,67.8
115,91.83,3.11,0.3755,-0.0187,56.3,-2.8,66.9
116,91.83,3.11,-0.0023,0.0934,-0.3,14.0,66.9
117,89.63,1.42,-0.7037,-0.9212,-105.6,-138.2,65.0
118,90.82,2.52,-0.9574,-0.8820,-143.6,-132.3,66.4
119,90.82,2.52,-0.9187,-0.9217,-137.8,-138.3,66.4
120,90.82,2.52,-1.0787,-1.0513,-150.0,-150.0,66.4
121,91.61,2.58,-1.0193,-0.8826,-150.0,-132.4,66.4
122,91.18,1.53,-0.9758,-0.9213,-146.4,-138.2,64.9
