step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
1,113.01,-35.41,0.1950,-1.0000,29.3,-150.0,6.8
2,113.01,-35.41,0.0178,-0.2194,2.7,-32.9,6.8
3,113.08,-35.95,-0.0038,-0.3780,-0.6,-56.7,6.2
4,113.08,-35.95,0.0158,-0.2343,2.4,-35.2,6.2
5,113.08,-35.95,0.0159,-0.2346,2.4,-35.2,6.2
6,113.01,-35.41,0.0375,-0.0766,5.6,-11.5,6.8
7,111.93,-34.77,0.0495,-0.5468,7.4,-82.0,7.8
8,111.93,-34.77,0.0208,-0.2508,3.1,-37.6,7.8
9,111.93,-34.77,0.0208,-0.2511,3.1,-37.7,7.8
10,111.93,-34.77,0.0208,-0.2514,3.1,-37.7,7.8
11,110.76,-33.08,0.0671,-0.2643,10.1,-39.6,9.9
12,110.76,-33.08,0.0251,-0.2532,3.8,-38.0,9.9
13,109.73,-32.47,0.3270,-0.0734,49.0,-11.0,11.0
14,108.68,-31.34,0.3601,0.0925,54.0,13.9,12.6
15,108.62,-30.31,-0.2068,-0.4062,-31.0,-60.9,13.6
16,108.62,-30.31,0.0546,-0.2260,8.2,-33.9,13.6
17,107.64,-29.72,0.3419,-0.0538,51.3,-8.1,14.7
18,105.75,-29.07,0.6371,-0.0202,95.6,-3.0,16.4
19,104.80,-27.50,0.4100,0.2686,61.5,40.3,18.4
20,104.80,-27.50,0.1573,-0.1518,23.6,-22.8,18.4
21,103.89,-26.44,0.4236,0.1581,63.5,23.7,19.8
22,100.36,-25.73,1.0000,0.0826,150.0,12.4,22.7
23,98.65,-25.15,0.7761,0.0659,116.4,9.9,24.4
24,98.65,-25.15,0.3225,-0.0898,48.4,-13.5,24.4
25,96.99,-24.58,0.8106,0.0780,121.6,11.7,25.9
26,94.52,-24.93,1.0000,-0.1763,150.0,-26.4,27.3
27,94.54,-24.45,0.4297,0.0552,64.4,8.3,27.6
28,94.54,-24.45,0.4343,-0.0714,65.1,-10.7,27.6
29,94.54,-24.45,0.4348,-0.0715,65.2,-10.7,27.6
30,94.54,-24.45,0.4354,-0.0716,65.3,-10.7,27.6
31,94.54,-24.45,0.4359,-0.0717,65.4,-10.8,27.6
32,94.54,-24.45,0.4365,-0.0718,65.5,-10.8,27.6
33,94.54,-24.45,0.4370,-0.0718,65.5,-10.8,27.6
34,94.54,-24.45,0.4375,-0.0719,65.6,-10.8,27.6
35,94.54,-24.45,0.4381,-0.0720,65.7,-10.8,27.6
