step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
1,89.00,8.61,-0.4391,1.0000,-65.9,150.0,0.0
2,89.00,8.61,-0.0400,0.2837,-6.0,42.6,0.0
3,89.00,8.61,-0.0401,0.2841,-6.0,42.6,0.0
4,89.77,8.69,-0.2678,0.3083,-40.2,46.2,0.0
5,90.82,9.34,-0.3687,0.4777,-55.3,71.7,0.0
6,90.82,9.34,-0.0890,0.3047,-13.4,45.7,0.0
7,91.62,9.43,-0.3224,0.3303,-48.4,49.5,0.0
8,91.62,9.43,-0.1105,0.3078,-16.6,46.2,0.0
9,92.42,9.52,-0.3462,0.3337,-51.9,50.1,0.0
10,92.42,9.52,-0.1323,0.3108,-19.8,46.6,0.0
11,91.62,9.43,0.1032,0.2857,15.5,42.8,0.0
12,91.62,9.43,-0.1111,0.3093,-16.7,46.4,0.0
13,91.62,9.43,-0.1113,0.3097,-16.7,46.4,0.0
14,90.82,9.34,0.1218,0.2848,18.3,42.7,0.0
15,90.56,8.78,-0.0124,0.1416,-1.9,21.2,0.0
16,89.77,8.69,0.1466,0.2692,22.0,40.4,0.0
17,89.00,8.61,0.1653,0.2676,24.8,40.1,0.0
18,89.00,8.61,-0.0418,0.2897,-6.3,43.5,0.0
19,89.00,8.61,-0.0418,0.2900,-6.3,43.5,0.0
20,89.00,8.61,-0.0419,0.2904,-6.3,43.6,0.0
21,88.23,8.53,0.1836,0.2672,27.5,40.1,0.0
22,88.23,8.53,-0.0214,0.2889,-3.2,43.3,0.0
23,88.48,9.09,-0.0964,0.4538,-14.5,68.1,0.0
24,87.47,8.45,0.2700,0.1169,40.5,17.5,0.0
25,86.71,8.38,0.2201,0.2650,33.0,39.8,0.8
26,86.71,8.38,0.0190,0.2862,2.9,42.9,0.8
27,86.96,8.93,-0.0540,0.4497,-8.1,67.5,0.5
28,86.21,8.85,0.2324,0.2786,34.9,41.8,1.3
29,86.21,8.85,0.0325,0.3000,4.9,45.0,1.3
30,86.21,8.85,0.0325,0.3003,4.9,45.1,1.3
31,85.47,8.78,0.2505,0.2779,37.6,41.7,2.0
32,85.47,8.78,0.0525,0.2990,7.9,44.8,2.0
33,84.73,8.70,0.2685,0.2768,40.3,41.5,2.3
34,84.73,8.70,0.0723,0.2977,10.8,44.6,2.3
35,84.73,8.70,0.0724,0.2980,10.9,44.7,2.3
36,84.49,8.15,0.1428,0.1370,21.4,20.6,2.6
37,84.00,8.62,0.2226,0.4231,33.4,63.5,3.0
38,84.00,8.62,0.0922,0.2970,13.8,44.6,3.0
39,83.28,8.55,0.3043,0.2755,45.6,41.3,3.8
40,83.28,8.55,0.1117,0.2957,16.8,44.4,3.8
41,83.28,8.55,0.1118,0.2961,16.8,44.4,3.8
42,83.28,8.55,0.1120,0.2964,16.8,44.5,3.8
43,82.56,8.47,0.3222,0.2752,48.3,41.3,4.9
44,81.86,8.40,0.3396,0.2739,50.9,41.1,5.6
45,81.86,8.40,0.1506,0.2936,22.6,44.0,5.6
46,81.86,8.40,0.1507,0.2939,22.6,44.1,5.6
47,81.86,8.40,0.1509,0.2941,22.6,44.1,5.6
48,81.15,8.33,0.3575,0.2730,53.6,41.0,6.4
49,81.15,8.33,0.1701,0.2921,25.5,43.8,6.4
50,81.15,8.33,0.1703,0.2921,25.5,43.8,6.4
51,80.45,8.26,0.3751,0.2714,56.3,40.7,6.9
52,80.45,8.26,0.1894,0.2903,28.4,43.5,6.9
53,79.76,8.19,0.3923,0.2698,58.9,40.5,7.3
54,79.76,8.19,0.2083,0.2884,31.2,43.3,7.3
55,79.76,8.19,0.2086,0.2884,31.3,43.3,7.3
56,79.76,8.19,0.2088,0.2884,31.3,43.3,7.3
57,79.08,8.12,0.4101,0.2682,61.5,40.2,8.0
58,79.08,8.12,0.2277,0.2866,34.2,43.0,8.0
59,79.08,8.12,0.2279,0.2866,34.2,43.0,8.0
60,79.08,8.12,0.2282,0.2866,34.2,43.0,8.0
61,79.08,8.12,0.2285,0.2866,34.3,43.0,8.0
62,78.40,8.05,0.4280,0.2667,64.2,40.0,8.7
63,78.40,8.05,0.2472,0.2848,37.1,42.7,8.7
64,77.73,7.99,0.4451,0.2651,66.8,39.8,9.8
65,77.73,7.99,0.2658,0.2830,39.9,42.4,9.8
66,77.73,7.99,0.2662,0.2830,39.9,42.4,9.8
67,77.06,7.92,0.4624,0.2636,69.4,39.5,10.4
