step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,156.59,-33.45,-1.2500,-1.5391,-150.0,-150.0,0.0
1,156.59,-33.45,-0.9631,-1.3786,-144.5,-150.0,0.0
2,156.59,-33.45,0.1883,-1.3668,28.2,-150.0,0.0
3,156.59,-33.45,-0.8363,-1.0663,-125.4,-150.0,0.0
4,156.59,-33.45,-0.8140,-0.9495,-122.1,-142.4,0.0
5,156.54,-32.81,-0.3437,-1.1337,-51.6,-150.0,0.0
6,156.54,-32.81,-1.7397,-0.0444,-150.0,-6.7,0.0
7,156.54,-32.81,-1.0738,-0.7600,-150.0,-114.0,0.0
8,156.54,-32.81,0.9852,-0.8666,147.8,-130.0,0.0
9,156.54,-32.81,0.3728,-0.1204,55.9,-18.1,0.0
10,156.54,-32.81,-0.8197,-0.6233,-123.0,-93.5,0.0
11,156.54,-32.81,-0.1264,-0.6090,-19.0,-91.3,0.0
12,156.54,-32.81,-1.8657,-1.2328,-150.0,-150.0,0.0
13,156.54,-32.81,-0.4863,-0.8055,-72.9,-120.8,0.0
14,156.54,-32.81,0.0475,-0.7443,7.1,-111.6,0.0
15,156.54,-32.81,-1.2025,-0.6377,-150.0,-95.6,0.0
16,166.95,-33.63,-0.7134,0.3621,-107.0,54.3,0.0
17,165.10,-32.82,-1.0386,1.0441,-150.0,150.0,0.0
18,166.91,-32.96,-0.0798,1.0342,-12.0,150.0,0.0
19,168.69,-31.09,-0.0489,1.0652,-7.3,150.0,0.0
20,166.89,-28.31,-0.4242,1.0616,-63.6,150.0,0.3
21,160.09,-24.71,-0.8649,1.0039,-129.7,150.0,4.6
22,151.00,-19.98,-1.1220,0.9711,-150.0,145.7,10.9
23,143.38,-14.40,-1.1006,-1.0857,-150.0,-150.0,17.9
24,128.37,-8.16,1.0312,-0.8975,150.0,-134.6,29.6
25,128.37,-8.16,0.2269,-0.7870,34.0,-118.1,29.6
26,128.37,-8.16,-0.8251,0.5905,-123.8,88.6,29.6
27,128.37,-8.16,0.9096,-0.6880,136.4,-103.2,29.6
28,124.72,-5.45,-0.8408,0.8432,-126.1,126.5,33.6
29,124.72,-5.45,0.7068,-0.1465,106.0,-22.0,33.6
30,119.05,-0.65,-0.9359,1.0693,-140.4,150.0,40.5
31,113.09,3.98,0.7289,-0.3705,109.3,-55.6,47.8
32,108.19,9.20,0.0953,0.4176,14.3,62.6,54.7
33,99.23,18.06,-0.7286,0.1873,-109.3,28.1,66.8
34,98.58,19.79,-0.5878,0.5635,-88.2,84.5,68.2
35,95.15,24.90,-0.3192,0.5615,-47.9,84.2,73.7
36,88.51,33.12,-0.2932,1.0076,-44.0,150.0,82.5
37,86.24,35.53,-0.7435,1.0093,-111.5,150.0,85.4
38,82.72,40.85,-0.9679,1.0057,-145.2,150.0,89.9
39,60.25,32.01,-0.7945,1.0346,-119.2,150.0,107.3
40,59.07,31.82,0.5850,0.9731,87.8,146.0,108.4
41,55.79,33.41,0.5334,0.9767,80.0,146.5,111.9
42,55.22,33.32,0.4650,1.0311,69.7,150.0,112.4
43,55.22,33.32,0.8241,1.2023,123.6,150.0,112.4
44,55.22,33.32,0.5728,0.9826,85.9,147.4,112.4
45,55.22,33.32,-0.1156,0.8275,-17.3,124.1,112.4
46,55.22,33.32,-0.0409,1.0224,-6.1,150.0,112.4
47,54.65,33.23,-0.8619,0.8932,-129.3,134.0,113.0
48,52.33,34.32,-0.1867,0.8941,-28.0,134.1,115.4
49,51.77,34.24,-0.7084,0.9350,-106.3,140.2,115.9
50,47.09,34.32,0.3903,1.1130,58.6,150.0,120.5
51,42.75,35.26,-0.2248,0.9254,-33.7,138.8,124.9
52,22.31,34.65,-0.6896,0.5470,-103.4,82.1,145.0
53,22.31,34.65,-1.0081,0.8056,-150.0,120.8,145.0
54,22.31,34.65,-0.8509,0.8349,-127.6,125.2,145.0
55,22.31,34.65,-0.9424,0.9493,-141.4,142.4,145.0
56,22.31,34.65,-0.8840,1.0008,-132.6,150.0,145.0
57,22.31,34.65,-0.9564,0.8975,-143.5,134.6,145.0
58,22.31,34.65,-1.0505,0.7704,-150.0,115.6,145.0
59,22.31,34.65,-1.0264,0.7410,-150.0,111.2,145.0
60,21.37,34.64,-0.9490,0.7751,-142.4,116.3,145.9
61,19.96,34.64,-1.1609,0.9179,-150.0,137.7,147.3
62,19.43,33.90,-0.9577,0.4386,-143.7,65.8,147.9
63,18.50,33.90,-0.8498,0.8587,-127.5,128.8,148.8
64,16.64,33.93,-1.1090,0.7447,-150.0,111.7,150.6
65,14.74,33.24,-1.0218,0.2152,-150.0,32.3,152.5
66,13.33,32.56,-1.1396,0.4329,-150.0,64.9,154.0
67,12.86,32.58,-1.0004,0.7728,-150.0,115.9,154.5
68,11.92,31.90,-0.7839,-0.2603,-117.6,-39.0,155.5
69,11.92,31.90,-0.9933,0.4339,-149.0,65.1,155.5
70,11.92,31.90,-0.8959,0.9100,-134.4,136.5,155.5
71,11.46,31.92,-0.6478,-0.1401,-97.2,-21.0,156.0
72,5.94,30.14,-0.9063,0.8289,-135.9,124.3,161.7
73,-2.17,26.84,-0.1422,-0.0352,-21.3,-5.3,170.3
74,-10.10,22.74,-0.2097,-0.6848,-31.5,-102.7,179.2
75,-10.10,22.74,-0.5495,0.4728,-82.4,70.9,179.2
76,-10.10,22.74,-0.7833,0.9185,-117.5,137.8,179.2
77,-10.10,22.74,-0.3022,-0.8806,-45.3,-132.1,179.2
78,-10.10,22.74,-1.0052,-0.3454,-150.0,-51.8,179.2
79,-10.10,22.74,0.2394,-0.0606,35.9,-9.1,179.2
80,-10.10,22.74,-0.8650,-0.1582,-129.8,-23.7,179.2
81,-10.10,22.74,0.3841,-0.6014,57.6,-90.2,179.2
82,-10.10,22.74,-0.9793,-0.3825,-146.9,-57.4,179.2
83,-10.10,22.74,-0.9987,-0.8145,-149.8,-122.2,179.2
84,-17.83,17.35,-0.7871,-0.4483,-118.1,-67.2,188.5
85,-17.83,17.35,-0.6400,-0.2132,-96.0,-32.0,188.5
86,-20.81,14.99,-0.7748,0.4354,-116.2,65.3,192.3
87,-33.06,10.13,-0.8223,0.5438,-123.3,81.6,181.0
88,-40.40,6.92,-0.9632,1.1058,-144.5,150.0,181.0
89,-40.40,6.92,-0.9722,1.2307,-145.8,150.0,181.0
